"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 09:05:42 SGT 2023","Tue Apr 18 09:06:22 SGT 2023","40389","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget is draggable",""
"passed","Tue Apr 18 09:07:15 SGT 2023","Tue Apr 18 09:07:17 SGT 2023","1854","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify confirm button is enabled",""
"passed","Tue Apr 18 09:10:24 SGT 2023","Tue Apr 18 09:10:33 SGT 2023","9172","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify only specific layer is visible",""
"passed","Tue Apr 18 09:10:19 SGT 2023","Tue Apr 18 09:10:24 SGT 2023","4682","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether all custom layers are disabled successfully",""
"skipped","Tue Apr 18 09:06:58 SGT 2023","Tue Apr 18 09:06:58 SGT 2023","2","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify dragging the widget in the layout enables the save and revert changes button",""
"passed","Tue Apr 18 09:05:12 SGT 2023","Tue Apr 18 09:05:55 SGT 2023","42625","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify configure widget panel is shown when widget edit button is clicked",""
"passed","Tue Apr 18 09:06:59 SGT 2023","Tue Apr 18 09:07:01 SGT 2023","2491","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify pop up shows 'New Page' as header",""
"passed","Tue Apr 18 09:07:33 SGT 2023","Tue Apr 18 09:07:38 SGT 2023","4898","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to zoom the map",""
"passed","Tue Apr 18 09:04:18 SGT 2023","Tue Apr 18 09:04:24 SGT 2023","5391","setup","src\tests\auth-setup.ts","","","","authenticate",""
"passed","Tue Apr 18 09:10:08 SGT 2023","Tue Apr 18 09:10:16 SGT 2023","8507","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether search button is working correctly",""
"passed","Tue Apr 18 09:07:38 SGT 2023","Tue Apr 18 09:08:15 SGT 2023","36949","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the right side of the map",""
"passed","Tue Apr 18 09:10:16 SGT 2023","Tue Apr 18 09:10:19 SGT 2023","2642","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether all custom layers are enabled successfully",""
"passed","Tue Apr 18 09:07:21 SGT 2023","Tue Apr 18 09:07:32 SGT 2023","10324","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify new layout is created when the page name is entered and click on the confirm button",""
"skipped","Tue Apr 18 09:06:58 SGT 2023","Tue Apr 18 09:06:58 SGT 2023","1","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on clicking the save button, widgets are saved",""
"passed","Tue Apr 18 09:08:15 SGT 2023","Tue Apr 18 09:08:51 SGT 2023","36586","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the left side of the map",""
"passed","Tue Apr 18 09:06:45 SGT 2023","Tue Apr 18 09:06:49 SGT 2023","4182","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify for Default layout revert changes button is disabled",""
"passed","Tue Apr 18 09:07:07 SGT 2023","Tue Apr 18 09:07:11 SGT 2023","4496","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify the new page pop up has cancel button",""
"passed","Tue Apr 18 09:07:01 SGT 2023","Tue Apr 18 09:07:03 SGT 2023","1837","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify input box for new page is enabled by default",""
"passed","Tue Apr 18 09:04:24 SGT 2023","Tue Apr 18 09:04:28 SGT 2023","4034","chromium","src\tests\001-login-testing\logout-successful.test.ts","Testing logout button @smoke","","","Verify if logout button is re-directed to login page",""
"passed","Tue Apr 18 09:04:28 SGT 2023","Tue Apr 18 09:05:12 SGT 2023","43814","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify border is highlighted  when edit button is clicked",""
"passed","Tue Apr 18 09:07:11 SGT 2023","Tue Apr 18 09:07:13 SGT 2023","1854","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify the new page pop up has confirm button",""
"passed","Tue Apr 18 09:04:24 SGT 2023","Tue Apr 18 09:05:04 SGT 2023","39453","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget is shown in the grid on selecting a widget from widget list",""
"passed","Tue Apr 18 09:07:05 SGT 2023","Tue Apr 18 09:07:07 SGT 2023","1829","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify char limit for the input box is 50",""
"passed","Tue Apr 18 09:08:51 SGT 2023","Tue Apr 18 09:09:30 SGT 2023","38806","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the top side of the map",""
"passed","Tue Apr 18 09:06:40 SGT 2023","Tue Apr 18 09:06:45 SGT 2023","4217","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify for Default layout duplicate page button is enabled",""
"passed","Tue Apr 18 09:07:32 SGT 2023","Tue Apr 18 09:08:22 SGT 2023","49703","chromium","src\tests\003-access-control-testing\ac-widget-edit-view.test.ts","Access control test for widget edit view","","","Verify user can view all widgets when all widgets are assigned to the role @smoke",""
